Unnamed: 0;LVL;Kanji;Lecture ON;Lecture KUN;Signification
992;N5;長;チョウ;なが.い;chef, long
993;N4;門;モン;かど, と;porte, entrée, portail
994;N3;閉;ヘイ;"と.じる, し.める, し.ま
る, た.てる";fermer, se fermer
995;N4;開;カイ;ひら.く, あ.く, あ.ける;ouvrir, s'ouvrir
996;N5;間;カン;あいだ, ま;intervalle
997;N3;関;カン;せき, かか.わる;barrière, péage, lien, relation
998;N2;防;ボウ;ふせ.ぐ;prévenir d'un danger, protéger
999;N3;降;コウ, ゴ;お.りる, ふ.る;descendre, tomber (pluie, neige)
1000;N3;限;ゲン;かぎ.る;limiter, restreindre
1002;N4;院;イン;-;vaste bâtiment public, résidence, hôpital
1003;N3;除;ジョ, ジ;のぞ.く;exclure, annuler, division (mathématique)
1004;N2;陸;リク;おか;continent, vaste étendue de terre
1005;N3;険;ケン;けわ.しい;escarpé, raide, abrupt, lieu inaccessible
1006;N3;陽;ヨウ;ひ;énergie positive, soleil
1007;N2;隅;グウ;すみ;coin, recoin
1008;N2;階;カイ;きざはし;étage, niveau, compteur d'étage
1009;N3;際;サイ;きわ;occasion, moment, bord, extrémité
1010;N2;隻;セキ;-;"compteur pour les bateaux, un élément
d'une paire, navire"
1011;N4;集;シュウ;あつ.まる, あつ.める;rassembler, réunir
1012;N2;雇;コ;やと.う;employer, embaucher
1013;N3;雑;ザツ, ゾウ;まじ.える, まじ.る;divers, varié
1014;N3;難;ナン;むずか.しい;difficile, problème, accident
1015;N5;雨;ウ;あめ;pluie
1016;N3;雪;セツ;ゆき;neige
1017;N2;雲;ウン;くも;nuage
1018;N2;零;レイ;ぜろ, こぼ.す;zéro, répandre, verser
1019;N5;電;デン;-;électricité
1020;N2;震;シン;ふる.う;secouer, frémir, tremblement
1021;N4;青;セイ, ショウ;あお.い;bleu, vert, inexpérience
1022;N3;静;セイ, ジョウ;"しず.か, しず.まる, し
ず.める";calme, paisible, se calmer, calmer
1023;N3;非;ヒ;あら.ず;faute, injustice, négatif, condamner
1024;N3;面;メン, ベン;おもて;surface, masque, face
1025;N2;革;カク;かわ;cuir, réforme, renouvellement
1026;N3;靴;カ;くつ;chaussure
1027;N4;音;オン, イン;おと;son, bruit
1028;N3;頂;チョウ;いただ.く;sommet, pic, recevoir
1029;N2;順;ジュン;-;ordre, séquence, obéir, docilité
1030;N2;預;ヨ;あず.ける;confier, se voir confier, dépôt, garde
1031;N2;領;リョウ;えり;contrôle, juridiction, domaine
1032;N4;頭;トウ, ズ;あたま;tête, compteur pour les gros animaux
1033;N3;頼;ライ;たの.む, たよ.る;demander, compter sur, confiance
1034;N4;題;ダイ;-;sujet, thème
1036;N2;額;ガク;ひたい;front, encadrement, montant, volume
1037;N4;顔;ガン;かお;visage, face
1038;N3;願;ガン;ねが.う, ねがい;souhaiter, souhait, vœu, espoir
1039;N3;類;ルイ;たぐ.い;variété, sorte, genre
1040;N4;風;フウ, フ;かぜ;vent, air, apparence, manière
1041;N3;飛;ヒ;と.ぶ;voler, s'envoler
1042;N5;食;ショク;た.べる;manger, nourriture
1043;N4;飯;ハン;めし;riz cuit, repas
1044;N5;飲;イン, オン;の.む;boire, boisson
1045;N4;館;カン;やかた, たて;grand bâtiment, résidence
1046;N4;首;シュ;くび;cou, compteur de chansons/poèmes
1047;N2;香;コウ, キョウ;かお.り, かお.る;parfum, senteur, parfumer
1048;N3;馬;バ;うま;cheval
1049;N5;駅;エキ;-;gare
1050;N2;駐;チュウ;-;stationnement, résident
1051;N4;験;ケン, ゲン;あかし, しるし, ため.す;examen, vérification
1052;N2;骨;コツ;ほね;os, armature
1053;N5;高;コウ;たか.い;haut, élevé, cher
1054;N3;髪;ハツ;かみ;cheveux
1055;N5;魚;ギョ;うお, さかな;poisson
1056;N4;鳥;チョウ;とり;oiseau
1057;N3;鳴;メイ;な.く;"pousser son cri pour un animal (aboyer,
miauler…)"
1058;N2;麦;バク;むぎ;céréale, blé, orge, avoine, seigle
1059;N2;黄;コウ, オウ;き;jaune
1060;N4;黒;コク;くろ.い;noir
1061;N2;鼻;ビ;はな;nez, museau, groin
1062;N2;齢;レイ;よわい, とし;âge
